id;name;number;length;description;created_by_id;created_date
1;New Taiwan Dollar connecting Fiji Dollar;25860;mesh infomediaries;Specialist Intelligent;10154;2021-03-12T14:57:16
2;Soft;23357;protocol;Sausages;93692;2021-03-12T14:55:49
3;Facilitator navigate;87978;Tasty;Configuration;58659;2021-03-12T08:12:54
4;Awesome e-commerce;22624;exuding Rubber Refined Frozen Shoes;deliverables;93699;2021-03-12T14:20:34
5;encoding Toys;22986;indexing;Legacy;17482;2021-03-12T20:08:57
6;Palestinian Territory Executive Refined;11119;Corporate;Austria fresh-thinking;25446;2021-03-12T22:17:04
7;Gorgeous repurpose;8514;Quality neural;Soap;3037;2021-03-12T10:16:09
8;Burundi Franc Kids;46879;Prairie copy withdrawal;generate Incredible;22798;2021-03-12T11:39:24
9;payment Product FTP;67324;Avon blue;green;80203;2021-03-12T17:45:04
10;architect THX;32124;motivating reboot Rhode Island;Licensed Rubber Granite;97587;2021-03-12T00:57:28
