id;name;type;link
1;Ergonomic Frozen;Unbranded Cotton Pizza Buckinghamshire;Markets salmon
2;aggregate;Strategist quantify;scalable
3;Executive Soap;pixel;SAS
4;purple SCSI;cross-media;Berkshire morph Corporate
5;Isle of Man service-desk;Fantastic;5th generation online monitor
6;neural Credit Card Account engage;Credit Card Account Rubber;convergence national Minnesota
7;Rial Omani Unbranded;wireless;Brunei Dollar
8;Automotive;Refined engage;transmit Quality Orchestrator
9;Pizza Cambridgeshire hardware;Refined Fresh Fish;Chair
10;strategize;sky blue;white
